Date,Sales
2022-03-26,7478.060070356276
2022-03-27,6702.212107550735
2022-03-28,9358.492344961749
2022-03-29,8691.897026015278
2022-03-30,7304.213442366127
2022-03-31,8590.88753519765
2022-04-01,8085.201439219165
2022-04-02,9302.324258893403
2022-04-03,6763.63491803924
2022-04-04,7754.229638118821
2022-04-05,7508.171482073493
2022-04-06,5585.55408351364
2022-04-07,8703.326019359345
2022-04-08,8474.710600573131
2022-04-09,8245.252308964999
2022-04-10,7834.635572853555
2022-04-11,5630.898129615089
2022-04-12,7209.7765690269125
2022-04-13,7726.179770927842
2022-04-14,7004.136696327102
2022-04-15,7785.7264692550225
2022-04-16,8685.779948106205
2022-04-17,11268.74718262732
2022-04-18,8153.296172957653
2022-04-19,8633.138989605266
2022-04-20,7925.172507859542
2022-04-21,5169.862695748019
2022-04-22,8419.996319565744
2022-04-23,8485.873559891845
2022-04-24,12105.519148407231
2022-04-25,8289.304850974986
2022-04-26,8665.291522761787
2022-04-27,8380.48679849928
2022-04-28,6403.966690773323
2022-04-29,10084.400840176113
2022-04-30,9385.344028878792
2022-05-01,9536.380944183311
2022-05-02,7160.080045061757
2022-05-03,10229.807787495854
2022-05-04,6922.033195525734
2022-05-05,9002.080725273772
2022-05-06,11371.981282079521
2022-05-07,7339.535587562632
2022-05-08,7893.659599359253
2022-05-09,8870.318284725272
2022-05-10,7995.139184898086
2022-05-11,6260.61730067116
2022-05-12,8452.533335345985
2022-05-13,7076.818104901128
2022-05-14,9183.474962048671
2022-05-15,7618.3192185018115
2022-05-16,11014.3181023303
2022-05-17,7339.495009368652
2022-05-18,8210.830192395943
2022-05-19,10162.579080205764
2022-05-20,6830.815346636767
2022-05-21,8968.227022878022
2022-05-22,10934.61592595506
2022-05-23,6589.721992541859
2022-05-24,9078.506279229237
2022-05-25,9227.805597960563
2022-05-26,10246.723260955212
2022-05-27,6738.985318910487
2022-05-28,6649.71340206773
2022-05-29,9643.113246569656
2022-05-30,9479.529155925842
2022-05-31,9588.66652260286
2022-06-01,10102.68230044216
2022-06-02,8397.556266611646
2022-06-03,9479.697645422637
2022-06-04,9631.285211197031
2022-06-05,7842.228357300144
2022-06-06,12023.778121766803
2022-06-07,9869.97619737845
2022-06-08,7569.814236119903
2022-06-09,10009.699526509674
2022-06-10,7978.841230981114
2022-06-11,10936.450959687872
2022-06-12,11011.118244351026
2022-06-13,8204.090620210447
2022-06-14,10974.344405530395
2022-06-15,9827.56161218285
2022-06-16,10634.473262253296
2022-06-17,12187.400113225147
2022-06-18,9002.81161909831
2022-06-19,7981.126416756407
2022-06-20,8017.64892016452
2022-06-21,8270.08594010803
2022-06-22,9662.838861115522
2022-06-23,10140.330191152589
2022-06-24,10398.4272198489
2022-06-25,10343.583715084984
2022-06-26,9608.771679232432
2022-06-27,11556.442091353998
2022-06-28,9573.6916100361
2022-06-29,13143.15760292558
2022-06-30,9982.724897818049
2022-07-01,7820.455142352525
2022-07-02,7031.526389344355
2022-07-03,9829.232177614891
2022-07-04,8687.761612680597
2022-07-05,10353.52873874112
2022-07-06,10035.81717263443
2022-07-07,9662.418328103911
2022-07-08,8208.520007181502
2022-07-09,6732.456389594583
2022-07-10,8222.204956667762
2022-07-11,10576.915580620307
2022-07-12,9052.637387947234
2022-07-13,7790.856322527988
2022-07-14,9705.776048248641
2022-07-15,9511.278704694138
2022-07-16,7216.0003697990915
2022-07-17,9673.989023809057
2022-07-18,9071.597493450852
2022-07-19,7656.889446846104
